model,strategy,run,elapsed_s,energy_uj,cpu_freq_khz
llama-1b,top_p,1,10.072009613,103092703611,4097516
llama-1b,top_p,1,11.079371592,103115744995,4099954
llama-1b,top_p,1,12.086625658,103139168519,680277
llama-1b,top_p,1,13.094581646,103162514650,4089851
llama-1b,top_p,1,14.102076472,103185934451,4100000
llama-1b,top_p,1,15.109396170,103209561100,4100000
llama-1b,top_p,2,.000903899,103249329797,400000
llama-1b,top_p,2,1.006935808,103266819498,400000
llama-1b,top_p,2,2.014120923,103294378143,400000
llama-1b,top_p,2,3.021118254,103322491719,400000
llama-1b,top_p,2,4.027822413,103350592233,400000
llama-1b,top_p,2,5.034378674,103378011047,4600000
llama-1b,top_p,2,6.041696864,103401755554,4700000
llama-1b,top_p,2,7.048964742,103424970582,4100000
llama-1b,top_p,2,8.056272207,103447783940,4100045
llama-1b,top_p,2,9.064187574,103470644294,400000
llama-1b,top_p,2,10.070997768,103494264167,4100000
llama-1b,top_p,2,11.078228153,103517480661,4100047
llama-1b,top_p,2,12.085245967,103541428902,4100000
llama-1b,top_p,2,13.092759310,103565727974,4100000
llama-1b,top_p,2,14.100420493,103589766852,4100000
llama-1b,top_p,2,15.107768008,103613769721,4100000
llama-1b,top_p,3,.000797887,103650426548,1296289
llama-1b,top_p,3,1.007039278,103667599478,400000
llama-1b,top_p,3,2.014266197,103695336467,4100041
llama-1b,top_p,3,3.020696751,103723499848,4099958
llama-1b,top_p,3,4.027523881,103751626240,4099958
llama-1b,top_p,3,5.034147361,103778651562,3844796
llama-1b,top_p,3,6.041350711,103801839857,4098785
llama-1b,top_p,3,7.048713058,103825108718,400000
llama-1b,top_p,3,8.056160934,103847859698,400000
llama-1b,top_p,3,9.063455383,103870703328,3666628
llama-1b,top_p,3,10.070650885,103893415367,4094963
llama-1b,top_p,3,11.077976674,103917658469,4100000
llama-1b,top_p,3,12.084880772,103942037313,4100000
llama-1b,top_p,3,13.092031387,103966430622,579409
llama-1b,top_p,3,14.099348469,103990542255,4100000
llama-1b,top_p,3,15.106377837,104014164753,4100000
llama-1b,top_p,4,.000905710,104049911304,400000
llama-1b,top_p,4,1.007445547,104067635197,400000
llama-1b,top_p,4,2.014375456,104095510004,4100000
llama-1b,top_p,4,3.021475589,104123418990,4100000
llama-1b,top_p,4,4.028611415,104151302524,4700000
llama-1b,top_p,4,5.035190107,104178557948,4100047
llama-1b,top_p,4,6.042589515,104202178920,4087492
llama-1b,top_p,4,7.049907472,104225938991,4100000
llama-1b,top_p,4,8.057384339,104250064051,3869130
llama-1b,top_p,4,9.064686681,104273437466,3421260
llama-1b,top_p,4,10.072413645,104296988431,400000
llama-1b,top_p,4,11.079734176,104320358854,4100523
llama-1b,top_p,4,12.086886977,104344266752,4099957
llama-1b,top_p,4,13.094295310,104368089140,4041130
llama-1b,top_p,4,14.100893770,104392217069,4100000
llama-1b,top_p,5,.000835643,104445821729,400000
llama-1b,top_p,5,1.006855644,104464299526,400000
llama-1b,top_p,5,2.014079969,104491839616,4046720
llama-1b,top_p,5,3.020902353,104519723700,2955096
llama-1b,top_p,5,4.028260362,104547436703,4099291
llama-1b,top_p,5,5.035317797,104575384508,400000
llama-1b,top_p,5,6.042470418,104598789538,4099828
llama-1b,top_p,5,7.049701501,104622172901,4098924
llama-1b,top_p,5,8.057158862,104645824635,4099444
llama-1b,top_p,5,9.063855884,104669510182,400000
llama-1b,top_p,5,10.071023975,104693355763,4104128
llama-1b,top_p,5,11.078198382,104717115773,400000
llama-1b,top_p,5,12.085623261,104743769697,4118634
llama-1b,top_p,5,13.093012629,104767487653,4108760
llama-1b,top_p,5,14.100176954,104791421247,4178181
llama-1b,top_p,5,15.107436337,104815234724,4099531
llama-1b,top_k,1,.000905843,104871609518,400000
llama-1b,top_k,1,1.006968652,104889298255,400000
llama-1b,top_k,1,2.013753766,104917596217,400000
llama-1b,top_k,1,3.020446817,104945572219,400000
llama-1b,top_k,1,4.027048713,104973725529,4100000
llama-1b,top_k,1,5.033771335,105000663143,4100000
llama-1b,top_k,1,6.040784588,105023877927,400000
llama-1b,top_k,1,7.047960095,105047544554,4100000
llama-1b,top_k,1,8.054768834,105071153624,4100000
llama-1b,top_k,1,9.062389995,105094724242,4100562
llama-1b,top_k,1,10.069820622,105118672362,400000
llama-1b,top_k,1,11.077237140,105142559020,400000
llama-1b,top_k,1,12.084724275,105166582701,4100000
llama-1b,top_k,1,13.091819629,105190052307,4100000
llama-1b,top_k,1,14.100062571,105213495789,4100044
llama-1b,top_k,1,15.107322205,105237081849,1113397
llama-1b,top_k,2,.000792154,105272591280,400000
llama-1b,top_k,2,1.007383437,105290235705,400000
llama-1b,top_k,2,2.014070571,105317711220,400000
llama-1b,top_k,2,3.021189911,105345781644,4100000
llama-1b,top_k,2,4.028603783,105373856157,4099958
llama-1b,top_k,2,5.035737277,105401794074,4099956
llama-1b,top_k,2,6.042833599,105425914557,400000
llama-1b,top_k,2,7.049935105,105449624274,4100000
llama-1b,top_k,2,8.056965957,105472932137,4096259
llama-1b,top_k,2,9.064359444,105496504098,4100000
llama-1b,top_k,2,10.071221860,105520164376,4099956
llama-1b,top_k,2,11.078777264,105543845041,4099957
llama-1b,top_k,2,12.085845621,105567534617,4100000
llama-1b,top_k,2,13.092815625,105591051402,4100000
llama-1b,top_k,2,14.099860660,105614633007,4104664
llama-1b,top_k,2,15.106798084,105638548717,4100000
llama-1b,top_k,3,.000841916,105676573888,1311360
llama-1b,top_k,3,1.006966896,105694246145,2546397
llama-1b,top_k,3,2.014205442,105721537335,4108528
llama-1b,top_k,3,3.021056962,105749965119,4092612
llama-1b,top_k,3,4.027949145,105777627951,400000
llama-1b,top_k,3,5.034977878,105805064892,400000
llama-1b,top_k,3,6.042419269,105828661634,3569895
llama-1b,top_k,3,7.049590562,105852530469,4100000
llama-1b,top_k,3,8.056562263,105876270520,4068376
llama-1b,top_k,3,9.065484158,105900528942,4080386
llama-1b,top_k,3,10.073296840,105923727919,4100000
llama-1b,top_k,3,11.080484861,105948343578,4099510
llama-1b,top_k,3,12.087875795,105973345772,4100000
llama-1b,top_k,3,13.094822121,105997915839,4100000
llama-1b,top_k,3,14.102045689,106022441472,4391356
llama-1b,top_k,4,.000938832,106073249875,400000
llama-1b,top_k,4,1.006957996,106091163037,400000
llama-1b,top_k,4,2.013630985,106118410343,1199423
llama-1b,top_k,4,3.020945344,106146681755,4100000
llama-1b,top_k,4,4.028388843,106174734051,4100000
llama-1b,top_k,4,5.034932149,106202745759,4100000
llama-1b,top_k,4,6.042176866,106226750580,4100046
llama-1b,top_k,4,7.049281668,106250967193,4100000
llama-1b,top_k,4,8.056481835,106274143892,4099958
llama-1b,top_k,4,9.063850632,106298051667,1088299
llama-1b,top_k,4,10.070916200,106321852693,4100000
llama-1b,top_k,4,11.078370367,106345196383,4097944
llama-1b,top_k,4,12.085321312,106368616367,4094626
llama-1b,top_k,4,13.092653927,106392137364,400000
llama-1b,top_k,4,14.100034009,106416155247,4100000
llama-1b,top_k,4,15.107413003,106439924229,400000
llama-1b,top_k,5,.000887121,106475916080,400000
llama-1b,top_k,5,1.007005206,106493840045,400000
llama-1b,top_k,5,2.014304688,106521518319,4100000
llama-1b,top_k,5,3.021105543,106548890503,4099958
llama-1b,top_k,5,4.028341619,106576828480,4099958
llama-1b,top_k,5,5.035102564,106604434611,4100000
llama-1b,top_k,5,6.042285205,106628720071,4100041
llama-1b,top_k,5,7.049479488,106653019142,4100000
llama-1b,top_k,5,8.056601997,106676116190,400000
llama-1b,top_k,5,9.063642999,106700083780,957630
llama-1b,top_k,5,10.070761905,106723573588,4100000
llama-1b,top_k,5,11.078117729,106747365825,400000
llama-1b,top_k,5,12.085329984,106771101360,400000
llama-1b,top_k,5,13.092298163,106795337687,4100000
llama-1b,top_k,5,14.099335226,106819320352,4100000
