model,sweep_type,input_tokens_requested,output_tokens_requested,run,elapsed_s,energy_uj,cpu_freq_khz
llama-1b,input_sweep,768,64,3,3.021677149,111044122281,4100000
llama-1b,input_sweep,768,64,3,4.028462959,111071775714,4100000
llama-1b,input_sweep,768,64,3,5.035275859,111100256659,4100000
llama-1b,input_sweep,768,64,3,6.041912181,111128266902,4100000
llama-1b,input_sweep,768,64,3,7.048656896,111154633961,4054935
llama-1b,input_sweep,768,64,3,8.056301446,111178249440,4099954
llama-1b,input_sweep,768,64,3,9.063249457,111201822744,4619770
llama-1b,input_sweep,768,64,4,.000921689,111237599691,400000
llama-1b,input_sweep,768,64,4,1.006912976,111255338232,400000
llama-1b,input_sweep,768,64,4,2.014030740,111282835659,4100000
llama-1b,input_sweep,768,64,4,3.020836967,111310757585,400000
llama-1b,input_sweep,768,64,4,4.027762671,111338747564,400000
llama-1b,input_sweep,768,64,4,5.034622403,111367382318,400000
llama-1b,input_sweep,768,64,4,6.041879968,111395737104,400000
llama-1b,input_sweep,768,64,4,7.048770818,111422523961,4098636
llama-1b,input_sweep,768,64,4,8.056441641,111446174413,4100000
llama-1b,input_sweep,768,64,4,9.063506993,111469413184,4100000
llama-1b,input_sweep,768,64,5,.000895097,111503408520,400000
llama-1b,input_sweep,768,64,5,1.007324090,111521129605,448781
llama-1b,input_sweep,768,64,5,2.013884545,111549090288,4099958
llama-1b,input_sweep,768,64,5,3.020492319,111577566838,4099958
llama-1b,input_sweep,768,64,5,4.027342424,111605805841,4100000
llama-1b,input_sweep,768,64,5,5.034192341,111633958051,4099958
llama-1b,input_sweep,768,64,5,6.041251722,111661846713,4099958
llama-1b,input_sweep,768,64,5,7.048156636,111687991238,4100000
llama-1b,input_sweep,768,64,5,8.055477602,111711209318,4100000
llama-1b,input_sweep,768,64,5,9.062898659,111734569244,4100000
llama-1b,input_sweep,1024,64,1,.000858218,111772589715,400000
llama-1b,input_sweep,1024,64,1,1.006856893,111790413217,400000
llama-1b,input_sweep,1024,64,1,2.013816527,111818080383,4099958
