model,strategy,run,elapsed_s,energy_uj,cpu_freq_khz
qwen-coder-1.5b,top_p,2,2.013984341,228126420999,400000
qwen-coder-1.5b,top_p,2,3.020363169,228154418974,4099958
qwen-coder-1.5b,top_p,2,4.027356822,228182408344,4100000
qwen-coder-1.5b,top_p,2,5.033861586,228210424019,4100000
qwen-coder-1.5b,top_p,2,6.040791227,228238882931,4100000
qwen-coder-1.5b,top_p,2,7.048004958,228263495294,4100000
qwen-coder-1.5b,top_p,2,8.055318406,228286869746,3600000
qwen-coder-1.5b,top_p,2,9.064839751,228301618915,3400000
qwen-coder-1.5b,top_p,2,10.074437079,228316004071,3396041
qwen-coder-1.5b,top_p,2,11.083508992,228330646062,3400000
qwen-coder-1.5b,top_p,2,12.092469091,228345316557,3400000
qwen-coder-1.5b,top_p,2,13.101991904,228359932853,3499962
qwen-coder-1.5b,top_p,2,14.111141778,228374727431,3400000
qwen-coder-1.5b,top_p,2,15.120216087,228389611854,400000
qwen-coder-1.5b,top_p,2,16.129593200,228404359436,3500037
qwen-coder-1.5b,top_p,2,17.139145140,228419364036,3400000
qwen-coder-1.5b,top_p,2,18.150184059,228434215560,3400000
qwen-coder-1.5b,top_p,2,19.159087039,228449188056,3500038
qwen-coder-1.5b,top_p,2,20.168282807,228464160247,3457367
qwen-coder-1.5b,top_p,3,.000863528,228498614443,1043838
qwen-coder-1.5b,top_p,3,1.006911251,228516331683,400000
qwen-coder-1.5b,top_p,3,2.013643982,228543954904,4099958
qwen-coder-1.5b,top_p,3,3.020474669,228571942503,4100041
qwen-coder-1.5b,top_p,3,4.027383253,228599488331,4098595
qwen-coder-1.5b,top_p,3,5.034068202,228626891032,400000
qwen-coder-1.5b,top_p,3,6.041473248,228654870635,4616112
qwen-coder-1.5b,top_p,3,7.048498415,228679562711,4100000
qwen-coder-1.5b,top_p,3,8.055727947,228702882963,400000
qwen-coder-1.5b,top_p,3,9.063074422,228722415750,2576548
qwen-coder-1.5b,top_p,3,10.072734888,228736828983,2917458
qwen-coder-1.5b,top_p,3,11.082269229,228751513454,3400044
qwen-coder-1.5b,top_p,3,12.091529430,228766059437,3400037
qwen-coder-1.5b,top_p,3,13.101329291,228780728406,3400000
qwen-coder-1.5b,top_p,3,14.110990065,228795433203,3400000
qwen-coder-1.5b,top_p,3,15.120339393,228810319456,3400034
qwen-coder-1.5b,top_p,3,16.129944202,228824970969,400000
qwen-coder-1.5b,top_p,3,17.138882619,228839871199,400000
qwen-coder-1.5b,top_p,3,18.147866256,228854820380,3500035
qwen-coder-1.5b,top_p,3,19.157433222,228869805754,3400000
qwen-coder-1.5b,top_p,3,20.167024990,228884746023,3399965
qwen-coder-1.5b,top_p,4,.000854459,228923071487,400000
qwen-coder-1.5b,top_p,4,1.007399635,228940788177,400000
qwen-coder-1.5b,top_p,4,2.014043227,228968559835,4100000
qwen-coder-1.5b,top_p,4,3.020552365,228996580942,4100000
qwen-coder-1.5b,top_p,4,4.026871026,229024362853,4100000
qwen-coder-1.5b,top_p,4,5.033562175,229051930776,4099958
qwen-coder-1.5b,top_p,4,6.040490176,229079403118,4100000
qwen-coder-1.5b,top_p,4,7.046959593,229104073404,400000
qwen-coder-1.5b,top_p,4,8.054510310,229128130044,4100041
qwen-coder-1.5b,top_p,4,9.062327489,229144478085,3400000
qwen-coder-1.5b,top_p,4,10.071853546,229158957846,3176815
qwen-coder-1.5b,top_p,4,11.081562456,229173632247,3400000
qwen-coder-1.5b,top_p,4,12.091047337,229188147102,3400000
qwen-coder-1.5b,top_p,4,13.100670838,229202895905,3400000
qwen-coder-1.5b,top_p,4,14.110051777,229217581536,3500035
qwen-coder-1.5b,top_p,4,15.119366294,229232423112,3400034
qwen-coder-1.5b,top_p,4,16.128560253,229247190469,3500000
qwen-coder-1.5b,top_p,4,17.137708750,229262157960,3400000
qwen-coder-1.5b,top_p,4,18.147332951,229277081628,3381119
qwen-coder-1.5b,top_p,4,19.156597072,229292010239,3183769
qwen-coder-1.5b,top_p,4,20.166304837,229306958077,3399965
qwen-coder-1.5b,top_p,5,.000850231,229340695906,400000
qwen-coder-1.5b,top_p,5,1.006924523,229358768430,871017
qwen-coder-1.5b,top_p,5,2.013887793,229386267505,4100000
qwen-coder-1.5b,top_p,5,3.020904453,229414398842,4100000
qwen-coder-1.5b,top_p,5,4.028149600,229442058622,4100041
qwen-coder-1.5b,top_p,5,5.034982358,229469513691,4100000
qwen-coder-1.5b,top_p,5,6.041711866,229497765755,4100000
qwen-coder-1.5b,top_p,5,7.048511176,229522136970,2196899
qwen-coder-1.5b,top_p,5,8.055748558,229545687508,400000
qwen-coder-1.5b,top_p,5,9.063550509,229564933674,400000
qwen-coder-1.5b,top_p,5,10.072979928,229579271528,3400000
qwen-coder-1.5b,top_p,5,11.082230378,229593929572,3399965
qwen-coder-1.5b,top_p,5,12.092221900,229608542937,3400000
qwen-coder-1.5b,top_p,5,13.101753159,229623235344,3399965
qwen-coder-1.5b,top_p,5,14.111558590,229637922989,3400000
qwen-coder-1.5b,top_p,5,15.120979338,229652714333,3500000
qwen-coder-1.5b,top_p,5,16.130234418,229667596924,3400034
qwen-coder-1.5b,top_p,5,17.140006921,229682442834,443363
qwen-coder-1.5b,top_p,5,18.149118446,229697355088,3400037
qwen-coder-1.5b,top_p,5,19.158216592,229712255379,3400000
qwen-coder-1.5b,top_p,5,20.168030006,229727225312,3399961
qwen-coder-1.5b,top_k,1,.000896164,229760526313,400000
qwen-coder-1.5b,top_k,1,1.006926906,229778488486,400000
qwen-coder-1.5b,top_k,1,2.013735963,229806168957,4100000
qwen-coder-1.5b,top_k,1,3.020422391,229833903017,4100000
qwen-coder-1.5b,top_k,1,4.026694985,229861963858,4100000
qwen-coder-1.5b,top_k,1,5.033626320,229892961582,4100000
qwen-coder-1.5b,top_k,1,6.040900603,229924451430,400000
qwen-coder-1.5b,top_k,1,7.047733143,229952523136,831880
qwen-coder-1.5b,top_k,1,8.054951844,229970671466,3200000
qwen-coder-1.5b,top_k,1,9.064462641,229985318279,3200035
qwen-coder-1.5b,top_k,1,10.074378588,229999840459,3199502
qwen-coder-1.5b,top_k,1,11.083474579,230014435880,400000
qwen-coder-1.5b,top_k,1,12.093302838,230029205374,915587
qwen-coder-1.5b,top_k,1,13.103854413,230043735549,3199888
qwen-coder-1.5b,top_k,1,14.114010097,230058260658,3399922
qwen-coder-1.5b,top_k,1,15.123785738,230073160583,3400000
qwen-coder-1.5b,top_k,1,16.133602488,230087993736,400000
qwen-coder-1.5b,top_k,1,17.143203367,230102928757,3372420
qwen-coder-1.5b,top_k,1,18.152973882,230117909614,3400000
qwen-coder-1.5b,top_k,1,19.162994081,230132862640,3400034
qwen-coder-1.5b,top_k,1,20.173338430,230147829216,3400034
qwen-coder-1.5b,top_k,1,21.182755902,230162675918,828031
qwen-coder-1.5b,top_k,2,.000864057,230194489374,400000
qwen-coder-1.5b,top_k,2,1.007024533,230211982494,400000
qwen-coder-1.5b,top_k,2,2.013869877,230239554139,400000
qwen-coder-1.5b,top_k,2,3.020445926,230267603811,400000
qwen-coder-1.5b,top_k,2,4.027071712,230295578776,400000
qwen-coder-1.5b,top_k,2,5.033866305,230323417023,400000
qwen-coder-1.5b,top_k,2,6.040443656,230351122701,400000
qwen-coder-1.5b,top_k,2,7.046757187,230376286883,4100044
qwen-coder-1.5b,top_k,2,8.053671512,230400438859,4115519
qwen-coder-1.5b,top_k,2,9.060900567,230420246609,400000
qwen-coder-1.5b,top_k,2,10.070352786,230434829946,3400034
qwen-coder-1.5b,top_k,2,11.080301919,230449286207,3400000
qwen-coder-1.5b,top_k,2,12.089965168,230463883704,400000
qwen-coder-1.5b,top_k,2,13.099672238,230478581543,3399965
qwen-coder-1.5b,top_k,2,14.109372065,230493353111,3399965
qwen-coder-1.5b,top_k,2,15.119172170,230508184616,3399792
qwen-coder-1.5b,top_k,2,16.128935990,230522950875,3399965
qwen-coder-1.5b,top_k,2,17.138533163,230537816376,3400000
qwen-coder-1.5b,top_k,2,18.147862072,230552631036,3400034
qwen-coder-1.5b,top_k,2,19.157433129,230567622330,3400000
qwen-coder-1.5b,top_k,3,.000905374,230618549019,457606
qwen-coder-1.5b,top_k,3,1.007215648,230636351036,400000
qwen-coder-1.5b,top_k,3,2.014384101,230664988597,400000
qwen-coder-1.5b,top_k,3,3.020918689,230693508361,4100000
qwen-coder-1.5b,top_k,3,4.027705682,230721499683,400000
qwen-coder-1.5b,top_k,3,5.034558661,230749244180,400000
qwen-coder-1.5b,top_k,3,6.041416895,230777596463,4100000
qwen-coder-1.5b,top_k,3,7.048018562,230802637110,4100097
qwen-coder-1.5b,top_k,3,8.055841578,230821659583,3400000
qwen-coder-1.5b,top_k,3,9.065200685,230836047730,3400000
qwen-coder-1.5b,top_k,3,10.074271780,230850668420,1987775
qwen-coder-1.5b,top_k,3,11.083098767,230865209154,400000
qwen-coder-1.5b,top_k,3,12.092965722,230879837840,3400000
qwen-coder-1.5b,top_k,3,13.102377644,230894641879,3400000
qwen-coder-1.5b,top_k,3,14.111268132,230909399654,3399959
qwen-coder-1.5b,top_k,3,15.120255598,230924263263,3399965
qwen-coder-1.5b,top_k,3,16.129238328,230939137004,3400000
qwen-coder-1.5b,top_k,3,17.139064065,230953931766,3400000
qwen-coder-1.5b,top_k,3,18.148219602,230968823940,3500040
qwen-coder-1.5b,top_k,3,19.157302701,230983753894,787685
qwen-coder-1.5b,top_k,3,20.165942402,230998671825,3500000
qwen-coder-1.5b,top_k,4,.000855809,231032645920,400000
qwen-coder-1.5b,top_k,4,1.007182634,231050546204,893901
qwen-coder-1.5b,top_k,4,2.013989751,231078359243,4100000
qwen-coder-1.5b,top_k,4,3.020932104,231106755289,400000
qwen-coder-1.5b,top_k,4,4.027811065,231134922697,4099958
qwen-coder-1.5b,top_k,4,5.034237935,231162676715,4100000
qwen-coder-1.5b,top_k,4,6.041260997,231190109995,4100000
qwen-coder-1.5b,top_k,4,7.048133773,231214831062,4099953
qwen-coder-1.5b,top_k,4,8.055467193,231238688361,4100000
qwen-coder-1.5b,top_k,4,9.063789077,231257166708,3299328
qwen-coder-1.5b,top_k,4,10.073625434,231271469283,400000
qwen-coder-1.5b,top_k,4,11.083201630,231286048103,2906705
qwen-coder-1.5b,top_k,4,12.092935968,231300732331,3062889
qwen-coder-1.5b,top_k,4,13.102437552,231315398309,400000
qwen-coder-1.5b,top_k,4,14.111856426,231330120622,3400000
qwen-coder-1.5b,top_k,4,15.121618049,231344905131,400000
qwen-coder-1.5b,top_k,4,16.130729947,231359773257,3399965
qwen-coder-1.5b,top_k,4,17.140907687,231374560206,3399810
qwen-coder-1.5b,top_k,4,18.150056920,231389556322,3400000
qwen-coder-1.5b,top_k,4,19.159094660,231404472666,491632
qwen-coder-1.5b,top_k,4,20.168239964,231419429842,3400000
qwen-coder-1.5b,top_k,5,.000847604,231454285405,400000
qwen-coder-1.5b,top_k,5,1.007349082,231472341633,400000
qwen-coder-1.5b,top_k,5,2.013992859,231500126474,4099958
qwen-coder-1.5b,top_k,5,3.020387080,231528393797,4100000
qwen-coder-1.5b,top_k,5,4.027111485,231556534838,2839835
qwen-coder-1.5b,top_k,5,5.033872908,231584976354,4100000
qwen-coder-1.5b,top_k,5,6.040224522,231613112147,400000
qwen-coder-1.5b,top_k,5,7.046922662,231636399501,4100000
qwen-coder-1.5b,top_k,5,8.054098776,231660016934,4100000
qwen-coder-1.5b,top_k,5,9.061353958,231678158428,3371290
qwen-coder-1.5b,top_k,5,10.070983977,231692470525,3400000
qwen-coder-1.5b,top_k,5,11.080532642,231706959074,3500000
qwen-coder-1.5b,top_k,5,12.089742087,231721727530,3400000
qwen-coder-1.5b,top_k,5,13.099034474,231736343704,400000
qwen-coder-1.5b,top_k,5,14.108222566,231751042152,3500000
qwen-coder-1.5b,top_k,5,15.118012199,231765871155,3400000
qwen-coder-1.5b,top_k,5,16.127546432,231780775597,3399316
qwen-coder-1.5b,top_k,5,17.137014091,231795561875,3500000
qwen-coder-1.5b,top_k,5,18.146641155,231810576912,3400000
qwen-coder-1.5b,top_k,5,19.156169477,231825375824,3500000
qwen-coder-1.5b,top_k,5,20.165361017,231840414665,2475000
