strategy,elapsed_s,energy_uj,cpu_freq_khz
temperature,19.163653625,171502345681,3500000
temperature,.000870358,171551545140,400000
temperature,1.006880361,171571659469,4700000
temperature,2.013765644,171591074275,400000
temperature,3.022370438,171610662909,4100000
temperature,4.028800442,171639753533,400000
temperature,5.035266233,171672181489,4091683
temperature,6.042200821,171701551592,4100738
temperature,7.049177039,171730016913,3900981
temperature,8.057865780,171745238492,1121159
temperature,9.067377084,171760031301,3199432
temperature,10.078762749,171774171707,3399494
temperature,11.088092387,171788858009,3400000
temperature,12.098030183,171803659363,3399965
temperature,13.108180122,171818370568,400000
temperature,14.119192552,171833189195,3500582
temperature,15.128673524,171848039315,3498841
temperature,16.138284828,171862981233,3400034
temperature,17.148049095,171877841912,3500035
temperature,18.158052118,171892783403,3500000
temperature,19.167506823,171907757546,3399427
top_p,.000880960,171956539404,2190485
top_p,1.007390878,171976222520,4700000
top_p,2.014104427,171994934691,400000
top_p,3.021980200,172014814279,400000
top_p,4.028939648,172044712091,4100000
top_p,5.036186991,172074378214,4099958
top_p,6.043281694,172104030542,400000
top_p,7.049983174,172132151381,4100000
top_p,8.057547559,172150456083,3400000
top_p,9.067319035,172165089407,3400000
top_p,10.077091378,172179597549,3400000
top_p,11.086745194,172194146217,3400171
top_p,12.096371987,172208783631,3500035
top_p,13.106125490,172223483850,400000
top_p,14.115259784,172238364976,3500000
top_p,15.124828012,172253167124,3500038
top_p,16.134088616,172268130037,3500000
top_p,17.143532492,172283096185,3436001
top_p,18.153565238,172297954790,3499963
top_p,19.163636172,172312963357,3399965
top_p,.000857198,172360886147,400000
top_p,1.006882050,172380469105,1205665
top_p,2.014141889,172399155641,4100000
top_p,3.022645909,172419452098,400000
top_p,4.029542144,172449088497,400000
top_p,5.036742484,172478929607,3748468
top_p,6.043954113,172508537625,400000
top_p,7.050458548,172536457170,4100000
top_p,8.058627800,172556547633,3400000
top_p,9.069251741,172570969472,3402225
top_p,10.079204189,172585478895,3400000
top_p,11.089145412,172600050696,3500000
top_p,12.098224263,172614787353,3502875
top_p,13.107723944,172629461326,400000
top_p,14.117742317,172644299179,3500000
top_p,15.127267695,172659111153,3400000
top_p,16.137017726,172673962616,2977494
top_p,17.146792122,172688839470,400251
top_p,18.156977536,172703764237,3500000
top_p,19.166517598,172718595681,400114
top_p,.000871645,172766480629,491831
top_p,1.006661037,172786025806,4700000
top_p,2.013434863,172805026978,4700000
top_p,3.021166578,172824775096,4111111
top_p,4.028045944,172854261166,4100000
top_p,5.034766007,172883971417,4100000
top_p,6.041287030,172914105373,4099958
top_p,7.048313410,172942230850,4100000
top_p,8.056845414,172961168485,3400000
top_p,9.066711316,172975782400,3400000
top_p,10.076734832,172990224319,3500000
top_p,11.087040423,173004904701,3400000
top_p,12.096830888,173019532471,603184
top_p,13.106485151,173034265466,3499952
top_p,14.115946869,173049129869,3500035
top_p,15.125471620,173063911447,3500000
top_p,16.135194848,173078896577,400000
top_p,17.145199617,173093709894,3501528
top_p,18.154792273,173108667314,3500256
top_p,19.164448433,173123670693,3399965
top_k,.000863003,173171859962,492269
top_k,1.006891716,173191487842,4619399
top_k,2.014145446,173210203248,4139706
top_k,3.022240149,173230574839,4100041
top_k,4.028930896,173260234553,4099958
top_k,5.035592238,173290110636,400000
top_k,6.042505245,173320496361,400000
top_k,7.049851973,173348150587,4098806
top_k,8.057388655,173366256315,3401165
top_k,9.066641281,173380986380,3303837
top_k,10.076768937,173395343460,3500333
top_k,11.086238006,173409972390,3499426
top_k,12.096196844,173424729371,3400000
top_k,13.106042690,173439371423,3399962
top_k,14.115895682,173454055224,3500000
top_k,15.125362209,173469066294,3500000
top_k,16.135095132,173484020601,399193
top_k,17.145119214,173498765863,3331924
top_k,18.154837453,173513718889,3400000
top_k,19.165022213,173528697672,3399960
top_k,.000856470,173575684490,400000
top_k,1.006678153,173595473074,4700000
top_k,2.014189712,173614935244,4700000
top_k,3.021550630,173634636121,400000
top_k,4.028721128,173663866271,4100931
top_k,5.035574982,173693450851,4095372
top_k,6.042335264,173723098602,400000
top_k,7.049290953,173751087361,4103459
top_k,8.057350442,173770848541,3400000
top_k,9.067305407,173785309380,3400000
top_k,10.077197074,173799759661,3267751
top_k,11.087694346,173814364726,3400000
top_k,12.097255896,173829183536,3400000
top_k,13.107260504,173843792812,3400000
top_k,14.117278105,173858955371,3200000
top_k,15.128000530,173873649608,3301516
top_k,16.137657440,173888453281,3299966
top_k,17.147466960,173903182126,3500000
top_k,18.157166972,173918188435,3400000
top_k,19.167249575,173933133892,3400000
