sweep_type,input_tokens_requested,output_tokens_requested,run,elapsed_s,energy_uj,cpu_freq_khz
output_sweep,512,8,2,7.049845868,102076987217,400000
output_sweep,512,8,3,.000862177,102119590562,1086093
output_sweep,512,8,3,1.006706543,102139389828,4600322
output_sweep,512,8,3,2.013857639,102157569896,4651160
output_sweep,512,8,3,3.021989894,102177134238,4100000
output_sweep,512,8,3,4.028883524,102206685005,4100000
output_sweep,512,8,3,5.036226085,102236359612,400000
output_sweep,512,8,3,6.042628397,102266169228,3837947
output_sweep,512,8,3,7.049335498,102293682524,1054471
output_sweep,512,32,1,.000848385,102340730926,848423
output_sweep,512,32,1,1.007012277,102360255291,400000
output_sweep,512,32,1,2.014086656,102378840326,3386381
output_sweep,512,32,1,3.021901654,102399352053,4100000
output_sweep,512,32,1,4.028621612,102428895801,4100000
output_sweep,512,32,1,5.035397261,102458210057,400000
output_sweep,512,32,1,6.041814848,102487647482,3802277
output_sweep,512,32,1,7.048950767,102515541819,4087997
output_sweep,512,32,1,8.057645172,102538055861,400000
output_sweep,512,32,2,.000863371,102579000946,400000
output_sweep,512,32,2,1.007135852,102598651470,4695648
output_sweep,512,32,2,2.014267306,102617306451,400000
output_sweep,512,32,2,3.021807498,102639692869,400000
output_sweep,512,32,2,4.028753870,102669145308,4100000
output_sweep,512,32,2,5.036026771,102698792083,400000
output_sweep,512,32,2,6.042660261,102728399490,400000
output_sweep,512,32,2,7.049646356,102757763672,4009090
output_sweep,512,32,2,8.057684146,102773304709,400000
output_sweep,512,32,3,.000867461,102816592257,732962
output_sweep,512,32,3,1.007063558,102836376142,770734
output_sweep,512,32,3,2.014094087,102854885982,400000
output_sweep,512,32,3,3.021937943,102875129522,4100000
output_sweep,512,32,3,4.029059726,102904914419,4100041
output_sweep,512,32,3,5.036006862,102934651830,4100000
output_sweep,512,32,3,6.042729584,102964394064,4100041
output_sweep,512,32,3,7.049401911,102991895031,4100000
output_sweep,512,32,3,8.057044069,103011624595,2584798
output_sweep,512,64,1,.000860426,103058618798,400000
output_sweep,512,64,1,1.007011025,103078351414,4610749
output_sweep,512,64,1,2.013791628,103097071520,3154842
output_sweep,512,64,1,3.021533477,103116776059,4100000
output_sweep,512,64,1,4.028674850,103145854903,4100000
